Cases,Pop_Estimate,Median_Income,Unemployment,Less_Highschool,Highschool,Associates,Bachelors,PCTPov_All,Pop_Density
956,20123,42761,10.5,19.8,48.7,22.2,9.3,22.9,1.56E-05
4912,195802,61691,7.3,9.5,31.6,33.7,25.2,12.4,0.000227307
245,17258,51295,5.1,9.9,40.8,30.3,19,12.5,1.14E-05
4485,163084,61624,7.1,9.2,36.1,32.5,22.1,12.3,8.77E-05
201,14022,49860,6.6,12,41.5,29.9,16.6,12.3,5.93E-06
2778,91838,87098,7.1,3.8,24.6,36.2,35.4,5.9,4.91E-05
1349,64449,63752,7.5,9.1,33.9,33,24.1,10.2,2.99E-05
456,16700,53908,7.9,7.7,34,34.1,24.2,12.7,5.13E-06
666,40786,58982,6.4,8.6,44.8,30.9,15.7,9.6,1.76E-05
2685,115240,62108,5.7,6.8,35.9,32.2,25.1,8.1,8.70E-05
321,20318,52419,4.9,11.6,43.4,29.8,15.1,9.7,8.05E-06
599,29681,61687,7,9.3,39,32.4,19.3,8.9,1.56E-05
391,30861,56272,5.2,10.6,37.7,29.3,22.4,14.1,1.51E-05
721,22356,55576,7.2,6.3,30,34.7,29.1,11.2,1.01E-05
2761,103953,64682,6.1,9.2,31.3,30.8,28.8,9.5,7.23E-05
421,15712,52735,6.9,7.8,33.6,35.6,23,12.8,7.61E-06
3414,136445,81928,5.6,5.1,30.3,33.2,31.5,5.1,0.000122332
11277,406172,91070,5.6,3.8,22.7,29.1,44.5,4.7,0.000285279
1197,50664,61773,5.5,8.2,40.8,31.1,19.9,8.8,2.62E-05
410,24326,55476,6.3,13.2,42,28.6,16.3,12.4,1.50E-05
4011,171631,59643,5.4,7.1,33.4,31.1,28.3,9.7,0.000152446
1431,72560,57325,6.7,7.3,38,33,21.6,10.7,3.53E-05
